artist_name,genre_name,source,confidence,source_url
Hide N Seek,crime thriller film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hugel,electronic dance music,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Hugel,house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Hugel,latin house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Hunter,action film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,action game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,action television series,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,action-adventure game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,casual game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,contemporary r&b,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,crime television series,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,dance-pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,detective fiction,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,drama film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,drama television series,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,heavy metal music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,hip-hop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,house music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,intelligent dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,metalcore,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,police television drama,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,pop music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,portrait,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,science fiction,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,short film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,simulation video game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hunter,sports video game,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hurts,dream pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hurts,indie pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Hurts,synth-pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
I Hate Models,hard techno,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
IVY,hardcore punk,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
